,10_2_P_R_A__0,10,2,25.0,2.57,117.02,21.45,64.0,Kluster
343,15_8_Se_R_M__4,15,8,23.02,18.27,115.61,10.81,38.86,12
344,15_8_Se_S_A__0,15,8,23.14,18.26,22.45,14.25,62.6,6
345,15_8_Se_S_A__1,15,8,24.59,17.44,23.79,13.94,51.67,6
346,15_8_Se_S_A__2,15,8,23.08,18.54,21.65,11.5,63.5,6
347,15_8_Se_S_A__3,15,8,23.32,19.5,24.66,12.94,55.2,6
348,15_8_Se_S_A__4,15,8,21.79,17.86,23.47,14.06,54.4,6
349,15_8_Se_S_F__0,15,8,23.63,16.82,23.09,15.12,58.5,6
350,15_8_Se_S_F__1,15,8,21.95,18.95,25.1,12.94,54.62,6
351,15_8_Se_S_F__2,15,8,22.68,18.13,22.0,14.19,50.67,6
352,15_8_Se_S_F__3,15,8,24.67,17.93,24.58,16.25,63.0,6
353,15_8_Se_S_F__4,15,8,23.41,17.79,24.77,15.0,46.27,6
354,15_8_Se_S_M__0,15,8,24.69,18.61,23.89,17.44,53.5,6
355,15_8_Se_S_M__1,15,8,23.24,19.67,23.95,13.94,60.67,6
356,15_8_Se_S_M__2,15,8,23.41,18.7,22.28,11.88,52.17,6
357,15_8_Se_S_M__3,15,8,23.77,18.78,24.14,15.19,49.12,6
358,15_8_Se_S_M__4,15,8,22.74,16.92,23.91,14.56,55.71,6
359,30_2_P_R_A__0,30,2,23.21,2.4,122.36,17.94,101.43,16
360,30_2_P_R_A__1,30,2,22.5,2.37,126.76,18.84,82.67,14
361,30_2_P_R_A__2,30,2,25.42,2.24,122.87,20.19,97.12,16
362,30_2_P_R_A__3,30,2,20.92,2.21,126.4,16.55,82.88,14
363,30_2_P_R_A__4,30,2,22.66,2.43,127.66,17.77,83.0,14
364,30_2_P_R_F__0,30,2,25.58,2.37,127.75,21.81,80.44,14
365,30_2_P_R_F__1,30,2,22.08,2.3,127.07,17.48,95.09,16
366,30_2_P_R_F__2,30,2,22.66,2.31,125.81,18.61,90.38,14
367,30_2_P_R_F__3,30,2,24.35,2.29,131.81,20.03,83.13,14
368,30_2_P_R_F__4,30,2,24.4,2.28,127.23,21.03,88.47,14
369,30_2_P_R_M__0,30,2,23.84,2.37,128.65,20.03,88.64,14
370,30_2_P_R_M__1,30,2,24.35,2.29,123.19,21.03,83.58,14
371,30_2_P_R_M__2,30,2,22.4,2.35,117.76,19.48,77.0,14
372,30_2_P_R_M__3,30,2,25.19,2.34,129.55,20.45,81.33,14
373,30_2_P_R_M__4,30,2,22.81,2.46,130.18,16.81,83.5,14
374,30_2_P_S_A__0,30,2,24.77,2.37,22.58,21.1,80.3,13
375,30_2_P_S_A__1,30,2,23.5,2.3,24.69,19.13,91.25,13
376,30_2_P_S_A__2,30,2,27.18,2.28,25.12,23.26,79.17,13
377,30_2_P_S_A__3,30,2,25.34,2.34,22.94,20.9,79.5,13
378,30_2_P_S_A__4,30,2,23.68,2.28,24.83,19.9,88.0,13
379,30_2_P_S_F__0,30,2,25.94,2.32,23.53,22.35,99.36,13
380,30_2_P_S_F__1,30,2,24.02,2.36,23.8,20.55,95.46,13
381,30_2_P_S_F__2,30,2,22.05,2.34,23.75,19.23,89.08,13
382,30_2_P_S_F__3,30,2,25.35,2.43,24.01,20.71,87.33,13
383,30_2_P_S_F__4,30,2,23.52,2.34,23.78,19.9,90.07,13
384,30_2_P_S_M__0,30,2,22.42,2.34,23.71,17.94,70.67,0
385,30_2_P_S_M__1,30,2,25.05,2.33,23.95,21.52,93.18,13
386,30_2_P_S_M__2,30,2,22.34,2.3,24.63,17.19,66.77,0
387,30_2_P_S_M__3,30,2,22.45,2.45,22.55,18.55,89.2,13
388,30_2_P_S_M__4,30,2,22.02,2.43,24.2,17.87,84.4,13
389,30_2_Se_R_A__0,30,2,23.15,11.77,125.71,17.77,112.5,16
390,30_2_Se_R_A__1,30,2,24.84,13.53,128.05,21.65,97.67,16
391,30_2_Se_R_A__2,30,2,27.95,12.83,133.58,24.26,114.62,16
392,30_2_Se_R_A__3,30,2,23.31,13.94,126.88,18.68,84.44,14
393,30_2_Se_R_A__4,30,2,25.4,15.94,118.66,22.19,91.78,14
394,30_2_Se_R_F__0,30,2,24.13,12.02,123.13,19.42,94.38,16
395,30_2_Se_R_F__1,30,2,27.42,13.08,123.06,23.55,86.88,14
396,30_2_Se_R_F__2,30,2,21.81,12.79,130.18,18.94,80.0,14
397,30_2_Se_R_F__3,30,2,20.98,14.8,127.93,16.06,81.92,14
398,30_2_Se_R_F__4,30,2,25.44,14.09,123.92,22.0,75.89,14
399,30_2_Se_R_M__0,30,2,25.26,12.22,125.71,21.61,101.3,16
400,30_2_Se_R_M__1,30,2,23.11,11.96,124.82,18.74,81.91,14
401,30_2_Se_R_M__2,30,2,24.55,12.88,128.0,19.42,76.08,14
402,30_2_Se_R_M__3,30,2,21.39,12.34,123.11,16.32,99.62,16
403,30_2_Se_R_M__4,30,2,25.81,13.33,126.89,21.23,85.25,14
404,30_2_Se_S_A__0,30,2,26.23,13.93,25.38,22.97,99.44,13
405,30_2_Se_S_A__1,30,2,25.48,13.43,23.34,22.48,94.33,13
406,30_2_Se_S_A__2,30,2,24.39,13.14,24.85,20.42,102.12,13
407,30_2_Se_S_A__3,30,2,24.0,12.22,23.66,19.42,93.75,13
408,30_2_Se_S_A__4,30,2,23.55,13.81,24.48,19.45,98.0,13
409,30_2_Se_S_F__0,30,2,26.37,14.76,25.09,20.97,94.5,13
410,30_2_Se_S_F__1,30,2,25.13,13.19,23.06,22.45,85.62,13
411,30_2_Se_S_F__2,30,2,23.42,11.82,25.08,20.61,112.27,13
412,30_2_Se_S_F__3,30,2,27.58,12.1,24.57,24.1,90.44,13
413,30_2_Se_S_F__4,30,2,23.26,15.98,24.53,18.29,68.18,0
414,30_2_Se_S_M__0,30,2,23.95,13.12,23.76,19.61,104.89,13
415,30_2_Se_S_M__1,30,2,24.63,12.67,24.18,19.45,94.5,13
416,30_2_Se_S_M__2,30,2,27.6,12.98,24.49,24.03,91.08,13
417,30_2_Se_S_M__3,30,2,23.35,13.5,23.46,19.52,90.7,13
418,30_2_Se_S_M__4,30,2,22.85,11.7,22.87,18.45,97.56,13
419,30_4_P_R_A__0,30,4,25.29,2.35,129.32,17.32,67.7,11
420,30_4_P_R_A__1,30,4,25.52,2.34,130.59,18.29,66.82,11
421,30_4_P_R_A__2,30,4,22.7,2.32,121.08,15.9,57.09,11
422,30_4_P_R_A__3,30,4,22.62,2.37,131.36,14.29,63.89,11
423,30_4_P_R_A__4,30,4,22.5,2.33,125.78,16.1,81.25,14
424,30_4_P_R_F__0,30,4,24.54,2.37,121.7,16.39,61.5,11
425,30_4_P_R_F__1,30,4,24.98,2.4,124.7,18.03,83.07,14
426,30_4_P_R_F__2,30,4,26.73,2.41,124.56,18.55,77.6,14
427,30_4_P_R_F__3,30,4,23.09,2.26,133.76,16.0,64.53,11
428,30_4_P_R_F__4,30,4,24.42,2.37,126.63,18.52,60.37,11
429,30_4_P_R_M__0,30,4,25.25,2.35,123.78,15.9,59.38,11
430,30_4_P_R_M__1,30,4,23.94,2.32,128.56,16.19,77.5,14
431,30_4_P_R_M__2,30,4,22.18,2.26,122.19,16.03,75.9,14
432,30_4_P_R_M__3,30,4,25.65,2.3,131.44,19.03,88.8,14
433,30_4_P_R_M__4,30,4,24.73,2.38,123.57,17.97,89.2,14
434,30_4_P_S_A__0,30,4,22.97,2.37,24.45,14.35,74.62,0
435,30_4_P_S_A__1,30,4,24.6,2.37,24.86,18.19,71.0,0
436,30_4_P_S_A__2,30,4,23.87,2.37,22.83,15.94,68.0,0
437,30_4_P_S_A__3,30,4,24.6,2.29,22.84,16.45,88.71,13
438,30_4_P_S_A__4,30,4,23.31,2.32,22.78,16.77,76.56,0
439,30_4_P_S_F__0,30,4,24.37,2.27,24.13,17.45,65.75,0
440,30_4_P_S_F__1,30,4,25.74,2.39,23.76,17.65,96.64,13
441,30_4_P_S_F__2,30,4,22.39,2.36,24.25,15.03,69.23,0
442,30_4_P_S_F__3,30,4,25.39,2.39,24.14,17.84,72.67,0
443,30_4_P_S_F__4,30,4,25.56,2.35,24.95,20.13,84.27,13
444,30_4_P_S_M__0,30,4,22.77,2.37,22.75,13.74,65.2,0
445,30_4_P_S_M__1,30,4,24.87,2.31,23.88,16.45,77.1,0
446,30_4_P_S_M__2,30,4,26.15,2.36,24.4,17.32,63.31,0
447,30_4_P_S_M__3,30,4,26.86,2.37,23.61,18.97,81.33,13
448,30_4_P_S_M__4,30,4,24.6,2.34,25.06,17.32,73.91,0
449,30_4_Se_R_A__0,30,4,26.98,12.97,127.07,20.52,68.83,11
450,30_4_Se_R_A__1,30,4,23.63,13.42,125.94,15.29,85.43,14
451,30_4_Se_R_A__2,30,4,24.2,12.99,124.22,16.94,82.62,14
452,30_4_Se_R_A__3,30,4,22.95,12.56,128.24,15.03,71.88,14
453,30_4_Se_R_A__4,30,4,24.23,13.12,130.06,16.61,72.44,14
454,30_4_Se_R_F__0,30,4,24.81,14.35,124.07,16.61,63.81,11
455,30_4_Se_R_F__1,30,4,24.12,11.54,123.68,18.26,91.33,14
456,30_4_Se_R_F__2,30,4,25.69,13.11,128.04,17.26,71.2,14
457,30_4_Se_R_F__3,30,4,23.13,12.45,131.88,17.26,73.86,14
458,30_4_Se_R_F__4,30,4,23.66,13.85,119.25,16.35,69.33,11
459,30_4_Se_R_M__0,30,4,23.23,13.36,127.53,15.03,89.88,14
460,30_4_Se_R_M__1,30,4,24.45,12.69,122.25,17.45,77.18,14
461,30_4_Se_R_M__2,30,4,23.38,11.43,125.03,16.81,76.27,14
462,30_4_Se_R_M__3,30,4,23.89,12.97,122.88,15.48,73.18,14
463,30_4_Se_R_M__4,30,4,24.61,14.43,120.08,18.45,65.64,11
464,30_4_Se_S_A__0,30,4,25.54,14.25,25.22,18.35,76.11,0
465,30_4_Se_S_A__1,30,4,24.25,12.06,22.24,17.94,65.55,0
466,30_4_Se_S_A__2,30,4,27.61,13.14,23.42,20.45,80.9,13
467,30_4_Se_S_A__3,30,4,22.31,13.12,24.09,16.65,79.38,13
468,30_4_Se_S_A__4,30,4,24.22,13.24,23.29,17.1,76.22,0
469,30_4_Se_S_F__0,30,4,25.34,12.52,23.9,17.23,81.77,13
470,30_4_Se_S_F__1,30,4,24.93,12.87,24.55,18.58,72.19,0
471,30_4_Se_S_F__2,30,4,25.35,13.38,24.57,18.32,75.33,0
472,30_4_Se_S_F__3,30,4,24.62,14.17,25.14,17.52,75.07,0
473,30_4_Se_S_F__4,30,4,24.51,13.71,24.32,18.68,65.65,0
474,30_4_Se_S_M__0,30,4,21.27,12.12,24.58,13.77,67.6,0
475,30_4_Se_S_M__1,30,4,24.3,13.47,24.09,16.68,78.3,0
476,30_4_Se_S_M__2,30,4,24.53,11.95,23.13,17.26,82.8,13
477,30_4_Se_S_M__3,30,4,23.52,13.67,23.57,16.84,68.42,0
478,30_4_Se_S_M__4,30,4,25.23,13.16,24.23,17.29,89.2,13
479,30_8_P_R_A__0,30,8,25.13,2.36,124.35,14.39,67.38,11
480,30_8_P_R_A__1,30,8,24.65,2.34,114.08,14.16,61.1,11
481,30_8_P_R_A__2,30,8,23.66,2.3,129.98,16.1,62.9,11
482,30_8_P_R_A__3,30,8,24.77,2.29,121.66,14.84,76.62,14
483,30_8_P_R_A__4,30,8,24.56,2.33,124.1,14.45,73.25,14
484,30_8_P_R_F__0,30,8,24.98,2.36,121.24,15.48,62.47,11
485,30_8_P_R_F__1,30,8,24.83,2.3,133.54,15.0,52.41,11
486,30_8_P_R_F__2,30,8,24.73,2.3,124.06,17.29,86.25,14
487,30_8_P_R_F__3,30,8,24.29,2.27,125.66,15.35,56.81,11
488,30_8_P_R_F__4,30,8,23.98,2.32,121.89,14.9,65.64,11
489,30_8_P_R_M__0,30,8,22.97,2.36,127.68,13.9,56.5,11
490,30_8_P_R_M__1,30,8,24.16,2.34,129.71,16.58,60.15,11
491,30_8_P_R_M__2,30,8,24.21,2.33,129.59,13.35,56.55,11
492,30_8_P_R_M__3,30,8,24.44,2.34,123.5,13.35,56.33,11
493,30_8_P_R_M__4,30,8,23.97,2.32,125.26,14.87,63.18,11
494,30_8_P_S_A__0,30,8,23.54,2.4,23.46,15.19,70.22,0
495,30_8_P_S_A__1,30,8,23.62,2.35,23.81,14.03,58.89,0
496,30_8_P_S_A__2,30,8,23.75,2.31,23.79,14.55,60.2,0
497,30_8_P_S_A__3,30,8,23.76,2.26,23.1,14.32,48.82,3
498,30_8_P_S_A__4,30,8,24.31,2.38,24.35,14.1,60.0,0
499,30_8_P_S_F__0,30,8,23.85,2.31,24.04,14.97,59.8,0
500,30_8_P_S_F__1,30,8,24.25,2.37,23.72,15.81,47.19,3
501,30_8_P_S_F__2,30,8,24.04,2.29,22.62,14.81,54.06,0
502,30_8_P_S_F__3,30,8,26.06,2.36,22.62,15.61,66.6,0
503,30_8_P_S_F__4,30,8,24.87,2.35,24.14,17.58,59.56,0
504,30_8_P_S_M__0,30,8,24.44,2.32,23.74,13.68,56.33,0
505,30_8_P_S_M__1,30,8,23.76,2.31,23.49,12.61,40.4,3
506,30_8_P_S_M__2,30,8,24.49,2.34,23.37,16.48,73.91,0
507,30_8_P_S_M__3,30,8,24.02,2.32,24.32,14.48,49.29,3
508,30_8_P_S_M__4,30,8,23.44,2.33,23.71,14.35,61.0,0
509,30_8_Se_R_A__0,30,8,23.8,13.07,126.57,14.06,62.11,11
510,30_8_Se_R_A__1,30,8,24.23,13.1,126.42,15.13,60.6,11
511,30_8_Se_R_A__2,30,8,22.83,12.52,116.84,14.81,66.44,11
512,30_8_Se_R_A__3,30,8,24.27,12.96,131.71,16.13,55.45,11
513,30_8_Se_R_A__4,30,8,24.99,13.63,122.36,16.06,85.12,14
514,30_8_Se_R_F__0,30,8,24.75,12.92,119.13,16.74,76.77,14
515,30_8_Se_R_F__1,30,8,24.4,12.85,128.89,15.52,66.57,11
516,30_8_Se_R_F__2,30,8,24.54,14.27,126.2,11.97,56.62,11
517,30_8_Se_R_F__3,30,8,23.88,13.03,120.98,16.1,65.2,11
518,30_8_Se_R_F__4,30,8,26.45,13.56,118.05,16.9,59.29,11
519,30_8_Se_R_M__0,30,8,24.25,13.28,120.47,13.94,60.73,11
520,30_8_Se_R_M__1,30,8,23.29,12.64,129.79,12.94,58.36,11
521,30_8_Se_R_M__2,30,8,25.85,12.68,127.56,17.35,73.36,14
522,30_8_Se_R_M__3,30,8,25.86,12.5,130.02,16.23,66.42,11
523,30_8_Se_R_M__4,30,8,26.46,12.96,124.91,16.42,62.62,11
524,30_8_Se_S_A__0,30,8,25.28,12.55,24.1,13.97,70.88,0
525,30_8_Se_S_A__1,30,8,25.47,13.86,23.68,15.29,47.0,3
526,30_8_Se_S_A__2,30,8,23.38,13.45,25.18,15.06,55.55,0
527,30_8_Se_S_A__3,30,8,23.09,13.66,22.45,13.45,50.64,0
528,30_8_Se_S_A__4,30,8,24.77,13.05,23.41,16.68,52.5,0
529,30_8_Se_S_F__0,30,8,23.79,13.52,22.39,14.45,67.92,0
530,30_8_Se_S_F__1,30,8,24.57,13.04,24.06,13.29,55.93,0
531,30_8_Se_S_F__2,30,8,25.8,13.26,23.21,16.58,58.59,0
532,30_8_Se_S_F__3,30,8,24.92,13.51,24.48,17.03,66.75,0
533,30_8_Se_S_F__4,30,8,22.46,14.22,23.32,14.61,55.94,0
534,30_8_Se_S_M__0,30,8,23.87,12.27,22.68,14.26,56.83,0
535,30_8_Se_S_M__1,30,8,24.1,12.98,23.9,15.0,65.18,0
536,30_8_Se_S_M__2,30,8,24.31,13.53,23.18,17.03,67.67,0
537,30_8_Se_S_M__3,30,8,25.49,12.05,24.7,16.77,68.0,0
538,30_8_Se_S_M__4,30,8,24.73,12.81,23.86,14.32,51.46,0
539,50_2_P_R_A__0,50,2,25.25,2.21,124.95,21.29,78.59,8
540,50_2_P_R_A__1,50,2,23.03,2.24,129.0,18.82,84.71,8
541,50_2_P_R_A__2,50,2,22.36,2.2,128.8,19.08,98.75,8
542,50_2_P_R_A__3,50,2,23.16,2.2,126.42,19.22,84.5,8
543,50_2_P_R_A__4,50,2,24.23,2.2,127.77,19.41,85.64,8
544,50_2_P_R_F__0,50,2,26.25,2.15,125.97,22.51,85.04,8
545,50_2_P_R_F__1,50,2,22.52,2.15,127.57,18.53,80.65,8
546,50_2_P_R_F__2,50,2,24.6,2.24,126.79,20.71,101.1,8
547,50_2_P_R_F__3,50,2,23.49,2.24,126.15,18.96,90.52,8
548,50_2_P_R_F__4,50,2,23.85,2.19,131.9,18.45,98.53,8
549,50_2_P_R_M__0,50,2,23.23,2.2,124.4,19.41,79.1,8
550,50_2_P_R_M__1,50,2,24.74,2.17,125.09,20.82,76.57,8
551,50_2_P_R_M__2,50,2,24.07,2.22,124.87,20.12,73.33,2
552,50_2_P_R_M__3,50,2,24.89,2.24,126.05,19.98,93.0,8
553,50_2_P_R_M__4,50,2,21.96,2.19,124.18,18.14,70.65,2
554,50_2_P_S_A__0,50,2,22.67,2.19,24.2,17.53,86.46,5
555,50_2_P_S_A__1,50,2,23.03,2.22,24.14,18.82,75.94,5
556,50_2_P_S_A__2,50,2,24.53,2.16,24.98,20.69,95.86,5
557,50_2_P_S_A__3,50,2,23.65,2.28,24.82,19.35,82.6,5
558,50_2_P_S_A__4,50,2,24.73,2.19,23.07,20.47,83.6,5
559,50_2_P_S_F__0,50,2,23.77,2.2,23.81,20.35,70.89,15
560,50_2_P_S_F__1,50,2,26.16,2.18,24.35,22.37,91.62,5
561,50_2_P_S_F__2,50,2,23.49,2.31,23.74,19.92,79.08,5
562,50_2_P_S_F__3,50,2,24.07,2.19,23.71,18.71,87.23,5
563,50_2_P_S_F__4,50,2,23.51,2.26,23.97,18.61,83.82,5
564,50_2_P_S_M__0,50,2,27.24,2.21,23.84,22.43,87.55,5
565,50_2_P_S_M__1,50,2,23.96,2.2,24.72,18.71,85.0,5
566,50_2_P_S_M__2,50,2,25.71,2.18,23.61,22.57,93.16,5
567,50_2_P_S_M__3,50,2,26.86,2.22,24.57,22.61,99.33,5
568,50_2_P_S_M__4,50,2,25.46,2.2,23.71,21.61,81.29,5
569,50_2_Se_R_A__0,50,2,23.07,10.89,131.11,19.63,78.56,8
570,50_2_Se_R_A__1,50,2,22.26,9.45,128.78,17.53,83.08,8
571,50_2_Se_R_A__2,50,2,24.34,10.53,124.85,20.43,84.38,8
572,50_2_Se_R_A__3,50,2,23.4,10.21,124.21,19.18,114.0,8
573,50_2_Se_R_A__4,50,2,26.4,10.13,124.97,22.65,97.6,8
574,50_2_Se_R_F__0,50,2,22.86,9.63,126.43,18.96,90.24,8
575,50_2_Se_R_F__1,50,2,22.42,9.96,128.45,18.71,68.15,2
576,50_2_Se_R_F__2,50,2,25.58,9.94,128.94,21.06,79.85,8
577,50_2_Se_R_F__3,50,2,24.65,9.44,127.29,21.24,87.17,8
578,50_2_Se_R_F__4,50,2,24.63,10.13,124.23,21.53,91.17,8
579,50_2_Se_R_M__0,50,2,26.99,9.74,123.78,22.22,107.75,8
580,50_2_Se_R_M__1,50,2,24.33,9.62,120.92,19.69,79.63,8
581,50_2_Se_R_M__2,50,2,23.89,9.46,127.84,20.0,77.6,8
582,50_2_Se_R_M__3,50,2,24.16,10.34,122.14,21.29,96.12,8
583,50_2_Se_R_M__4,50,2,25.14,9.45,125.87,20.92,81.15,8
584,50_2_Se_S_A__0,50,2,25.75,9.96,23.89,22.06,80.65,5
585,50_2_Se_S_A__1,50,2,24.77,9.36,24.9,20.86,88.6,5
586,50_2_Se_S_A__2,50,2,23.31,10.49,23.02,19.39,85.33,5
587,50_2_Se_S_A__3,50,2,25.56,10.18,23.9,21.98,113.17,5
588,50_2_Se_S_A__4,50,2,22.57,10.54,23.42,18.55,95.15,5
589,50_2_Se_S_F__0,50,2,25.93,9.46,23.65,22.1,88.12,5
590,50_2_Se_S_F__1,50,2,23.35,9.62,23.19,18.71,96.3,5
591,50_2_Se_S_F__2,50,2,23.06,9.68,24.31,17.98,87.45,5
592,50_2_Se_S_F__3,50,2,24.03,10.07,24.55,20.1,88.59,5
593,50_2_Se_S_F__4,50,2,23.53,9.98,24.67,19.53,94.85,5
594,50_2_Se_S_M__0,50,2,25.1,10.01,24.21,20.67,93.88,5
595,50_2_Se_S_M__1,50,2,22.55,10.43,24.21,18.49,85.59,5
596,50_2_Se_S_M__2,50,2,26.76,9.83,24.0,22.45,95.72,5
597,50_2_Se_S_M__3,50,2,22.33,9.84,24.11,19.37,91.18,5
598,50_2_Se_S_M__4,50,2,21.17,9.54,24.34,16.73,67.89,15
599,50_4_P_R_A__0,50,4,25.0,2.21,125.6,17.25,70.6,2
600,50_4_P_R_A__1,50,4,24.47,2.2,120.69,17.29,79.86,8
601,50_4_P_R_A__2,50,4,24.18,2.23,127.93,17.08,72.53,2
602,50_4_P_R_A__3,50,4,23.97,2.22,127.07,15.33,66.27,2
603,50_4_P_R_A__4,50,4,25.88,2.18,126.37,18.22,76.33,8
604,50_4_P_R_F__0,50,4,24.1,2.19,131.21,16.65,71.33,2
605,50_4_P_R_F__1,50,4,23.85,2.17,128.04,15.29,67.36,2
606,50_4_P_R_F__2,50,4,24.25,2.2,129.68,16.49,70.52,2
607,50_4_P_R_F__3,50,4,23.95,2.2,125.62,17.47,86.35,8
608,50_4_P_R_F__4,50,4,25.3,2.18,121.42,18.73,85.0,8
609,50_4_P_R_M__0,50,4,24.59,2.22,123.42,18.39,71.85,2
610,50_4_P_R_M__1,50,4,24.37,2.22,126.47,17.2,73.94,2
611,50_4_P_R_M__2,50,4,25.3,2.22,124.7,17.59,85.81,8
612,50_4_P_R_M__3,50,4,26.32,2.2,128.87,18.92,80.11,8
613,50_4_P_R_M__4,50,4,25.28,2.2,126.88,17.96,73.21,2
614,50_4_P_S_A__0,50,4,24.68,2.21,23.3,18.84,76.5,5
615,50_4_P_S_A__1,50,4,25.85,2.21,23.51,17.33,82.69,5
616,50_4_P_S_A__2,50,4,25.67,2.19,23.29,18.59,76.93,5
617,50_4_P_S_A__3,50,4,23.83,2.21,24.42,16.57,83.38,5
618,50_4_P_S_A__4,50,4,23.66,2.21,24.21,15.63,56.29,15
619,50_4_P_S_F__0,50,4,25.52,2.2,24.2,18.73,80.0,5
620,50_4_P_S_F__1,50,4,23.75,2.24,24.21,16.27,71.13,15
621,50_4_P_S_F__2,50,4,23.55,2.22,25.02,16.31,68.38,15
622,50_4_P_S_F__3,50,4,23.42,2.24,25.26,17.73,74.62,15
623,50_4_P_S_F__4,50,4,26.13,2.21,23.73,17.98,70.64,15
624,50_4_P_S_M__0,50,4,25.25,2.2,23.45,18.08,77.84,5
625,50_4_P_S_M__1,50,4,24.43,2.2,24.53,15.31,72.06,15
626,50_4_P_S_M__2,50,4,23.81,2.19,24.35,17.37,64.95,15
627,50_4_P_S_M__3,50,4,24.46,2.23,24.15,16.69,74.78,15
628,50_4_P_S_M__4,50,4,23.24,2.21,23.85,16.02,83.13,5
629,50_4_Se_R_A__0,50,4,22.63,9.49,128.26,15.59,71.0,2
630,50_4_Se_R_A__1,50,4,23.06,9.06,124.2,16.53,64.19,2
631,50_4_Se_R_A__2,50,4,23.88,9.96,124.82,16.2,70.07,2
632,50_4_Se_R_A__3,50,4,23.42,10.4,125.65,14.94,64.8,2
633,50_4_Se_R_A__4,50,4,23.21,10.06,127.75,15.39,63.25,2
634,50_4_Se_R_F__0,50,4,24.12,9.12,130.81,16.67,77.55,8
635,50_4_Se_R_F__1,50,4,23.11,9.34,125.09,14.51,73.25,2
636,50_4_Se_R_F__2,50,4,24.46,9.89,126.1,16.59,78.24,8
637,50_4_Se_R_F__3,50,4,25.68,9.36,126.98,16.9,92.26,8
638,50_4_Se_R_F__4,50,4,24.5,10.12,125.34,16.73,72.35,2
639,50_4_Se_R_M__0,50,4,25.32,9.74,129.22,18.37,66.95,2
640,50_4_Se_R_M__1,50,4,24.99,10.34,125.33,16.67,79.75,8
641,50_4_Se_R_M__2,50,4,24.59,10.18,125.77,17.02,70.79,2
642,50_4_Se_R_M__3,50,4,24.98,10.43,127.36,17.06,70.63,2
643,50_4_Se_R_M__4,50,4,23.72,9.95,126.8,15.45,68.06,2
644,50_4_Se_S_A__0,50,4,25.82,9.47,24.53,19.04,77.87,5
645,50_4_Se_S_A__1,50,4,24.49,10.17,24.15,16.67,64.12,15
646,50_4_Se_S_A__2,50,4,23.98,9.67,24.12,17.0,86.38,5
647,50_4_Se_S_A__3,50,4,25.03,10.24,24.08,16.94,78.93,5
648,50_4_Se_S_A__4,50,4,24.3,9.63,23.52,16.29,80.31,5
649,50_4_Se_S_F__0,50,4,24.6,10.24,23.94,16.37,79.3,5
650,50_4_Se_S_F__1,50,4,26.11,10.32,24.32,18.27,90.95,5
651,50_4_Se_S_F__2,50,4,22.08,9.47,23.61,15.69,71.27,15
652,50_4_Se_S_F__3,50,4,23.09,10.09,23.84,16.06,66.33,15
653,50_4_Se_S_F__4,50,4,23.84,9.71,24.11,15.8,75.24,15
654,50_4_Se_S_M__0,50,4,24.06,9.34,23.5,17.04,88.4,5
655,50_4_Se_S_M__1,50,4,24.6,9.63,24.11,17.0,64.05,15
656,50_4_Se_S_M__2,50,4,24.42,10.22,24.47,15.33,70.94,15
657,50_4_Se_S_M__3,50,4,23.78,10.85,24.73,16.88,76.18,5
658,50_4_Se_S_M__4,50,4,25.0,9.32,23.48,17.71,81.28,5
659,50_8_P_R_A__0,50,8,25.14,2.21,129.43,15.78,68.47,2
660,50_8_P_R_A__1,50,8,24.03,2.2,122.81,13.43,65.77,2
661,50_8_P_R_A__2,50,8,24.22,2.22,131.09,13.84,54.31,2
662,50_8_P_R_A__3,50,8,24.39,2.21,129.65,14.57,53.12,2
663,50_8_P_R_A__4,50,8,25.15,2.23,125.51,15.63,64.0,2
664,50_8_P_R_F__0,50,8,24.24,2.18,123.89,14.92,58.42,2
665,50_8_P_R_F__1,50,8,24.39,2.21,125.84,15.06,58.36,2
666,50_8_P_R_F__2,50,8,23.71,2.22,128.25,14.92,53.74,2
667,50_8_P_R_F__3,50,8,24.0,2.22,126.9,15.14,56.77,2
668,50_8_P_R_F__4,50,8,24.76,2.21,126.3,16.04,76.24,2
669,50_8_P_R_M__0,50,8,24.15,2.21,125.01,13.86,57.68,2
670,50_8_P_R_M__1,50,8,24.48,2.21,128.63,13.27,63.44,2
671,50_8_P_R_M__2,50,8,25.3,2.22,130.67,16.0,79.19,8
672,50_8_P_R_M__3,50,8,25.01,2.2,123.91,15.84,70.72,2
673,50_8_P_R_M__4,50,8,24.34,2.2,121.91,15.27,65.39,2
674,50_8_P_S_A__0,50,8,24.11,2.2,23.9,13.18,76.91,5
675,50_8_P_S_A__1,50,8,23.5,2.19,24.07,15.22,58.81,15
676,50_8_P_S_A__2,50,8,25.23,2.18,25.01,16.49,63.44,15
677,50_8_P_S_A__3,50,8,24.91,2.2,24.69,14.24,71.46,15
678,50_8_P_S_A__4,50,8,24.48,2.21,24.71,14.51,59.73,15
679,50_8_P_S_F__0,50,8,24.67,2.21,24.14,13.61,67.85,15
680,50_8_P_S_F__1,50,8,24.85,2.2,24.87,15.02,59.24,15
681,50_8_P_S_F__2,50,8,23.86,2.19,25.02,14.76,69.24,15
682,50_8_P_S_F__3,50,8,23.82,2.23,23.76,13.88,60.57,15
683,50_8_P_S_F__4,50,8,23.3,2.2,23.62,14.94,59.44,15
684,50_8_P_S_M__0,50,8,25.75,2.2,24.15,14.63,56.2,15
685,50_8_P_S_M__1,50,8,24.77,2.21,23.91,15.73,58.52,15
686,50_8_P_S_M__2,50,8,25.0,2.19,23.83,16.37,61.43,15
